code,value
ITI33,-2.8
ITI34,-2.8
ITI35,-2.9
ITI4,-1.0
ITI41,-1.5
ITI42,-3.1
ITI43,-0.4
ITI44,-0.2
ITI45,-6.6
LI,8.5
LI0,8.5
LI00,8.5
LI000,8.5
LT,10.0
LT0,10.0
LT01,22.7
LT011,22.7
LT02,4.5
LT021,-10.7
LT022,9.5
LT023,16.5
LT024,-8.3
LT025,-10.9
LT026,10.3
LT027,-0.9
LT028,-4.1
LT029,5.8
LU,16.9
LU0,16.9
LU00,16.9
LU000,16.9
LV,-8.8
LV0,-8.8
LV00,-8.8
LV005,-15.9
LV009,-10.3
LV00A,-6.1
LV00B,-8.7
LV00C,-9.9
ME,11.3
ME0,11.3
ME00,11.3
ME000,11.3
MK,-2.0
MK0,-2.0
MK00,-2.0
MK001,-5.1
MK002,-8.1
MK003,-2.8
MK004,-4.6
MK005,-5.2
MK006,0.3
MK007,-1.5
MK008,1.0
MT,38.7
MT0,38.7
MT00,38.7
MT001,40.3
MT002,18.1
NL,7.4
NL1,5.5
NL11,8.8
NL112,-6.4
NL114,1.3
NL115,12.9
NL12,3.6
NL126,3.8
NL127,6.6
NL128,-3.7
NL13,4.1
NL131,3.8
NL132,4.1
NL133,4.6
NL2,6.9
NL21,4.0
NL211,5.6
NL212,4.0
NL213,3.0
NL22,7.2
NL221,9.3
NL224,3.9
NL225,1.3
NL226,9.4
NL23,13.7
NL230,13.7
NL3,8.4
NL32,8.1
NL321,2.1
NL323,2.9
NL325,9.7
NL327,4.0
NL328,5.3
NL32A,7.8
NL32B,11.3
NL34,1.3
NL341,-2.1
NL342,2.6
NL35,8.9
NL350,8.9
NL36,9.3
NL361,7.9
NL362,18.3
NL363,12.3
NL364,3.5
NL365,8.7
NL366,9.4
NL4,6.2
NL41,7.0
NL411,6.9
NL414,7.4
NL415,7.3
NL416,6.5
NL42,4.3
NL421,3.9
NL422,4.6
NL423,4.4
NO,11.1
NO0,11.1
NO02,7.1
NO020,7.1
NO06,9.3
NO060,9.3
NO07,8.7
NO071,8.2
NO072,7.5
NO073,12.6
NO08,13.5
NO081,12.2
NO083,9.6
NO084,17.7
NO085,10.3
NO09,11.0
NO092,11.9
NO093,11.3
NO094,8.8
NO0A,10.2
NO0A1,14.3
NO0A2,7.9
NO0A3,8.4
PL,-3.6
PL2,-3.7
PL21,-0.1
PL213,2.8
PL214,4.4
PL217,-3.7
PL218,-1.1
PL219,-1.6
PL21A,-6.2
PL22,-6.6
PL224,-7.1
PL225,-3.9
PL227,-6.0
PL228,-6.7
PL229,-7.3
PL22A,-8.0
PL22B,-9.7
PL22C,-2.5
PL4,-3.4
PL41,-1.7
PL411,-4.9
PL414,-4.5
PL415,-4.6
PL416,-4.6
PL417,-2.3
PL418,7.8
PL42,-5.9
PL424,-6.9
PL426,-5.6
PL427,-8.9
PL428,-2.8
PL43,-5.3
PL431,-6.1
PL432,-4.7
PL5,-3.9
PL51,-3.0
PL514,-0.5
PL515,-8.3
PL516,-5.9
PL517,-10.7
PL518,7.6
PL52,-6.7
PL523,-9.0
PL524,-5.3
PL6,-3.4
PL61,-6.0
PL613,-3.7
PL616,-6.6
PL617,-7.1
PL618,-6.7
PL619,-8.9
PL62,-6.7
PL621,-7.3
PL622,-5.7
PL623,-7.8
PL63,0.5
PL633,-1.3
PL634,9.7
PL636,-3.8
PL637,-3.3
PL638,-5.1
PL7,-7.4
PL71,-6.8
PL711,-9.8
PL712,-0.5
PL713,-6.8
PL714,-7.1
PL715,-7.6
PL72,-8.8
PL721,-8.3
PL722,-9.7
PL8,-5.2
PL81,-7.2
PL811,-8.4
